time,open,high,low,close,volume
2024-01-01 22:00:00,0.86901,0.86901,0.86901,0.86901,1.7999999523162842
2024-01-01 22:05:00,0.86872,0.86883,0.86865,0.8688,15.650000274181366
2024-01-01 22:10:00,0.86877,0.86877,0.86849,0.86855,79.0500015616417
2024-01-01 22:15:00,0.86855,0.86855,0.86838,0.86838,35.36000072956085
2024-01-01 22:20:00,0.86833,0.86852,0.86804,0.86819,264.0500068664551
2024-01-01 22:25:00,0.8682,0.8682,0.86806,0.86816,73.50000190734863
2024-01-01 22:30:00,0.86816,0.86871,0.86805,0.86863,269.38000482320786
2024-01-01 22:35:00,0.86863,0.86877,0.86783,0.86788,441.9200094342232
2024-01-01 22:40:00,0.86789,0.86791,0.86763,0.86763,187.40000534057617
2024-01-01 22:45:00,0.86763,0.86766,0.8674,0.86745,148.95000522583723
2024-01-01 22:50:00,0.86745,0.86768,0.86744,0.8676,70.32000160962343
2024-01-01 22:55:00,0.86766,0.868,0.86766,0.86796,83.58000135421753
2024-01-01 23:00:00,0.86801,0.86803,0.86711,0.86716,570.3300144672394
2024-01-01 23:05:00,0.86716,0.86718,0.86699,0.86707,301.99000453948975
2024-01-01 23:10:00,0.86706,0.86712,0.86695,0.86697,473.8700132369995
2024-01-01 23:15:00,0.86697,0.86723,0.86696,0.86723,388.2000138759613
2024-01-01 23:20:00,0.86723,0.86727,0.86714,0.86725,301.44000804424286
2024-01-01 23:25:00,0.86724,0.86724,0.86698,0.86699,232.22000539302826
2024-01-01 23:30:00,0.86699,0.86705,0.86695,0.86705,151.47000515460968
2024-01-01 23:35:00,0.86705,0.8672,0.86704,0.86719,276.1600067615509
2024-01-01 23:40:00,0.86719,0.86719,0.86711,0.86718,220.29000520706177
2024-01-01 23:45:00,0.86722,0.8673,0.86703,0.86707,280.5400059223175
2024-01-01 23:50:00,0.86707,0.86714,0.86706,0.86713,243.70000791549683
2024-01-01 23:55:00,0.86712,0.86717,0.86708,0.86712,161.26000475883484
2024-01-02 00:00:00,0.86712,0.86724,0.86706,0.8671,437.2200105190277
2024-01-02 00:05:00,0.86711,0.86729,0.86711,0.86722,167.99000453948975
2024-01-02 00:10:00,0.8672,0.86721,0.86706,0.8672,242.97000300884247
2024-01-02 00:15:00,0.8672,0.8672,0.8671,0.8672,129.11000096797943
2024-01-02 00:20:00,0.8672,0.86735,0.8672,0.86723,141.67000102996826
2024-01-02 00:25:00,0.86723,0.86738,0.86723,0.86732,162.1900017261505
2024-01-02 00:30:00,0.86733,0.86742,0.86728,0.86742,223.13000202178955
2024-01-02 00:35:00,0.86742,0.86745,0.8673,0.86741,213.830002784729
2024-01-02 00:40:00,0.86741,0.86748,0.86737,0.86746,222.7600041627884
2024-01-02 00:45:00,0.86746,0.86749,0.86735,0.86741,264.66000413894653
2024-01-02 00:50:00,0.86741,0.86742,0.86731,0.86739,213.22000455856323
2024-01-02 00:55:00,0.8674,0.86744,0.86732,0.86744,240.19000267982483
2024-01-02 01:00:00,0.86744,0.86755,0.86739,0.8674,373.4700028896332
2024-01-02 01:05:00,0.8674,0.86754,0.86733,0.86752,366.1700026988983
2024-01-02 01:10:00,0.86751,0.86753,0.86746,0.8675,247.08000338077545
2024-01-02 01:15:00,0.8675,0.86755,0.86741,0.86754,314.54000556468964
2024-01-02 01:20:00,0.86754,0.86765,0.86748,0.86753,265.0600041151047
2024-01-02 01:25:00,0.86755,0.86756,0.86747,0.86751,319.96000945568085
2024-01-02 01:30:00,0.86752,0.86758,0.86742,0.8675,629.1800104379654
2024-01-02 01:35:00,0.8675,0.86762,0.86748,0.86753,466.28000354766846
2024-01-02 01:40:00,0.86752,0.86753,0.86748,0.86751,379.54000675678253
2024-01-02 01:45:00,0.86751,0.86757,0.86748,0.86754,322.4700036048889
2024-01-02 01:50:00,0.86755,0.86758,0.86753,0.86756,190.41000306606293
2024-01-02 01:55:00,0.86755,0.8676,0.86752,0.86754,231.62000238895416
2024-01-02 02:00:00,0.86753,0.86755,0.86728,0.86728,254.3300040960312
2024-01-02 02:05:00,0.86727,0.86735,0.86712,0.86712,285.9300035238266
2024-01-02 02:10:00,0.86714,0.86723,0.86701,0.86701,277.90000426769257
2024-01-02 02:15:00,0.86703,0.86703,0.8669,0.86693,251.70000231266022
2024-01-02 02:20:00,0.86692,0.86697,0.8668,0.8668,232.05000364780426
2024-01-02 02:25:00,0.8668,0.86686,0.86675,0.86679,201.17000484466553
2024-01-02 02:30:00,0.86679,0.86679,0.86665,0.86673,483.55001163482666
2024-01-02 02:35:00,0.86672,0.86719,0.86672,0.86707,476.5700079202652
2024-01-02 02:40:00,0.86707,0.86708,0.867,0.86708,287.770002245903
2024-01-02 02:45:00,0.86708,0.86713,0.86696,0.86701,267.6800023317337
2024-01-02 02:50:00,0.86703,0.86703,0.86686,0.86698,251.0100041627884
2024-01-02 02:55:00,0.86695,0.86701,0.86689,0.86693,473.07000732421875
2024-01-02 03:00:00,0.86693,0.86701,0.86689,0.86692,318.59000396728516
2024-01-02 03:05:00,0.86691,0.86694,0.86678,0.8668,252.19000375270844
2024-01-02 03:10:00,0.8668,0.8669,0.8668,0.86685,222.95000326633453
2024-01-02 03:15:00,0.86685,0.867,0.86685,0.867,224.5100064277649
2024-01-02 03:20:00,0.867,0.867,0.86692,0.86695,195.74000430107117
2024-01-02 03:25:00,0.86695,0.86695,0.86688,0.86692,239.63000786304474
2024-01-02 03:30:00,0.8669,0.86692,0.86687,0.86687,186.41000390052795
2024-01-02 03:35:00,0.86686,0.86687,0.86679,0.86684,280.1000040769577
2024-01-02 03:40:00,0.86684,0.86691,0.86683,0.86691,184.33000195026398
2024-01-02 03:45:00,0.8669,0.8669,0.86676,0.86682,166.4800009727478
2024-01-02 03:50:00,0.86682,0.86709,0.86682,0.86709,256.2600003480911
2024-01-02 03:55:00,0.8671,0.86714,0.86683,0.86685,298.56000530719757
2024-01-02 04:00:00,0.86685,0.86697,0.86681,0.86688,298.9400032758713
2024-01-02 04:05:00,0.86687,0.86692,0.86682,0.86686,148.25000143051147
2024-01-02 04:10:00,0.86685,0.86685,0.86677,0.86685,162.3800024986267
2024-01-02 04:15:00,0.86685,0.86697,0.86685,0.86687,144.60000264644623
2024-01-02 04:20:00,0.86688,0.8669,0.8668,0.86689,225.85000491142273
2024-01-02 04:25:00,0.86688,0.86688,0.86678,0.86682,155.6400021314621
2024-01-02 04:30:00,0.86681,0.86681,0.86668,0.86675,228.20000422000885
2024-01-02 04:35:00,0.86677,0.86679,0.86666,0.86668,96.09000134468079
